Comment,Annotation
Fir bhi kuch gawaro ko Aajh tak samajh nahi Aaya kuch manbuddi mc log Aajh bhi cast main bhet bhaw kar rahe hai,Hatespeech
sab aise nahi hote kuchi gine chune log hote ye unki mansikta he...hame acha or sacha bane rahena he..😊..bhai..,Not Hatespeech
jo thode bohat log untouchability ko mante hai wo thoda bohat bhi khatam ho jana chahiye hindu sirf hindu koi low cast High cast nie tabhi hamare dharm k liye achha hoga,Not Hatespeech
ऐेसे तुच्छ बहोत कम लोग होते हे तुम हारना मत करोडो लोग ओर भगवान तुम्हारे साथ हें ।इस  परिस्थति से लडना हे तुम्हे ओर तुम्ही जीतोगी  ।,Not Hatespeech
Reservation hato desh bacho,Not Hatespeech
SC वाले मजबूत होना चाहिए और आप उनसे मत मिले जो आपको मिलना नही चाहते,Not Hatespeech
Achha chutiya banti ho,Hatespeech
"We talk about 70 years of reservation system 
Can we talk about 5000 years of casteist society which still exists 
If you think Dalits Don't need reservation now , ask your Mom how much money she gives to your maid ,driver ,or caretaker , sweeper , and then compare it with your own family expenses.
Do you think Dalits recieve ample of education ? NO 
Look around your school , coaching , educational institutes and then evaluate how many Dalit educators you have .
There are not even 3% dalits graduated , although they constitute about 85 % of the Indian   Population.
Why ? Because people who exploited them are still exploiting them . This is a part of the MANUVADI Mentality which still exists , and it is a system to make them 'ghulam' forever.",Not Hatespeech
According  to varna system only brahmin  were allowed to take education ...majority of casts were denied from right to educate themselves from thousands of years and this genereal category people have always talk about 70 year old reservation .  In Judicial system where collegium  system exist you barely can see other non brahmin people on the post of high court  and supreme court judges. they are super hypocrite people.,Hatespeech
"Madam, toh unn logon ko lene do na reservation ka labh. Kyon maids, sweeper aur AAPKI APNI jaati ke garib logon ka haq aap log maar rahe ho...",Not Hatespeech
हिन्दूस्तान  मे ये हर जगह होता है।,Not Hatespeech
Mam aap ne to abi   baba sahab ki saat jo hua usa  0.1% bi ni deka.... So don't worry... Be strong...,Not Hatespeech
I am from obc but i support sc st ye bhut galat ho rha h sabke sath,Not Hatespeech
"भूत और भगवान दोनो भ्रम है। सभी आस्तिक धर्मों का आधार झूठ, अंधविश्वास एवं चमत्कार है।
आओ एक ईश्वर मुक्त विश्व का निर्माण करें।
ब्राह्मण धर्म का नाश निकट है।
नमो बुद्धाय, जय स्वामी पेरियार!!",Hatespeech
Hota kai bar hote dekha h khud ke sath... Jab tak apke dosto Ko ye nhi Pta Hoga aap dalit h tab tak unka behaviour apke sath thik hoga.. Lekin Pta chalte hi ap jatav Ko ya or koi nichi cast Ko unka behaviour change ho Jata h..,Not Hatespeech
You people have to form a group and get ready to kill those who call you Dalit and watch how fear will fix everything.,Hatespeech
Don't worry sister we are coming soon to kick these bastard's,Hatespeech
"और बंद करो आरक्षण........हम हिंदू है जब अजेंडा मुसलमानो के खिलाफ हो ,बाकी वक्त उनके लिये हमारे घर का पीने का पानी मूत से भी गंदा",Hatespeech
Aapko aise logoo ko chor do jo aapko samjhte nhii h okjii and aap bohot pyaarii h duniyaa me bohot log h aisii gandii soch ke sath aap mt rho khud hi and aapne kaam prr dyaan dijiye jii ☺,Not Hatespeech
Kya kya badalengi badalna in kutto ki hoga.,Hatespeech
में खुद भूमिहार हूँ। दलितों का दुःख समझ सकता हूँ। बेहेन यह सिर्फ ऊंची जात के ब्राह्मण विदेशी ही असली कारण है जो जातिप्रथा के नाम पर देश बांट ते है। दलितों को न्याय दो उनको इंसान समझो जब ओबीसी और माइनॉरिटी यो को इंसान समझते हो तोह दलित और आदिवासियो को इंसान क्यों नही।,Not Hatespeech
This is very bad....,Not Hatespeech
That's why there must be some organizations like sc st minority welfare  in every sector so that they have a back in situations like these,Not Hatespeech
"All savarns are same , the suppresed the natives in their own land ,",Hatespeech
"Hamesha aapne hkh ke leye date rahana hai . Bahot aacha tha logh aapse aalag horahethe .Aapko aapka proper wark kare milta .
Jaise .Baba sahab ne .Shanti se kiya tha",Not Hatespeech
Hum to yah hamesha fase karte hai hame to aaj bhi obc vale bhi apne ghar se pani nhi pine dete apne hatho se Pilate hai,Not Hatespeech
"Bahut be insafi hai ye, iski saza milegi sanatan ko, jab bahujan aur musslmano ka polerization hoga, tab inse badla liya jayega. Lekin dukh iss baat ka hai bahut saare dalit abhi bhi hindu dharti ko dho rahe hai. Baba sahab ne kaha rha. Unite educate. And agitate 
We are educated we can agitate but we are not unite. 
Issi ka fayada uthata hai bhagva samaj, highly educated ho gaye to declare kar dete hai ham ki dalit nhi hai, aap jitna hide karo vo aapko dhundh lenge fir charcha hoga. Aapke sc st hone ka fir third phage m aapka exploitation hoga ghar chhod doge aur service chhod doge. Ye merra dava hai hinduon ke moholle m jati hide karke rahoge pata chalne par social bycott hoga. Lekin fir bhi ham hindu hai aare laat maaro esse ghatiya dharm par. 
Jai bhim inderpal valmiki",Hatespeech
"Yesa nahi hai , you don't know how to give answer to them 
I am also dalit but I know how to handle situation",Not Hatespeech
काफी हद्द तक इस सब के लिए सरकारें जिम्मेदार है शायद आरक्षण भी भेदभाव को बढ़ावा देता है जाति प्रथा हमारे माथे पे कलंक है,Not Hatespeech
Very good 👍👍,Not Hatespeech
Ham ladenge in logo se.jay bheem,Not Hatespeech
Salute hai mam aapko,Not Hatespeech
"i think you need to know about Schedule caste.Go and see the SC history .Nearly all the jewels of the earth ,born in the schedule caste only ,
Eg Baba shaheb ,Saint kabir ,Saint Ravidas and end less name you can find ...whole world knows them ,And you are ashamed of your caste .",Not Hatespeech
"It's very shameful and instead of reduction, casteism is increasing in the country",Not Hatespeech
As a human law people eat people. Still no one can find a truth of behind of the miror who is our maker.. Jai Bhim,Not Hatespeech
Ye baba saheb se bdi gyani h.....problem ko face kregi ..nice joke,Not Hatespeech
Ye desh ki durbhagya hai...Jo supremacy par biswash rakhte Hain...wohi log raaj Kar rahe hain...agar koi chhota na hoga to...koi bada kese dikhega... Isiliye ye log majhboor Kar rahe hain,Not Hatespeech
Ji aaj paristhitiya dheere dheere badal Rahi hai.varsho ki padi dhool hai.ekdam se saf nahi hogi.samay lagega.ismein netagiri badhak hai.,Not Hatespeech
She is not saying truth ...these days  Nobody  discriminate on  castism esp in cosmopolitan .... this is only publi City stunt.,Not Hatespeech
"I m from general caste but hate the thinking of general caste people who feel superior just because they r born as general category....seriously i dont have any respect for these kind of people , rather than i respect to those people how have a higher thinking wether he/ she belongs to any caste...i want to change castesiem , but still trying to find how??",Not Hatespeech
स्वतंत्र दलितराष्ट्र ही उपाय है शायद इसपे....,Not Hatespeech
.. namo Bhudhay.....🙏,Not Hatespeech
"It should be Buddhist nation.
All dalits must get converted to Buddhism.",Not Hatespeech
Mere sath dalit job krta h but uske sath to nii hua bs apke sath hua h,Not Hatespeech
यह इस देश की सच्चाई है,Not Hatespeech
"Jo log jaat dekh kr dosti kr te vo log insan kahlane ke bhi layak nhi
Unse dosti to bohot dur ki bat h",Not Hatespeech
"RSS BJP का हिंदू धर्म और देश से कोई लेना-देना नहीं है। यह राष्ट्रवाद, धर्म और संस्कृति की आड़ में जाति के वर्चस्व की राजनीति कर रहा है।

यह वास्तव में वर्चस्व और उत्पीड़न के बीच की लड़ाई है।
इसे समझने के लिए  लिंक पर जाएं:
 https://youtu.be/LkFGnqCQmzY",Not Hatespeech
"Kab tak hum log bhed bhav sahenge,mujhe Convent school principal ne dharm change Karne ke liye khaha par meine Nahi kiya, na hi padh saka 9th,(budh Darm is good for Us)",Not Hatespeech
Madam ji reservation ki vajah se bhi jaati vaad hota h reservation khtam jaati vaad khatam,Not Hatespeech
I am with you,Not Hatespeech
Dear become ias and ips give upsc  that's make great,Not Hatespeech
Talent 0 aur aur khud ko samjha hero...sarkari naukri main quota ka katora se job le lo kyonki private main ye jugad nhi hai,Not Hatespeech
Cast brahmarho ne apane fhayde ke liye banaye hai.uresian videsi brahmarho ko desh se inke manuvad ke sath bagao.aur iske liye andolan chalavo.,Hatespeech
Castism has made slave india for 1000 years,Not Hatespeech
Change your religion,Not Hatespeech
B.BC..ne khud employees ko nikala h ..to ye kya smjhega..fir v isne laya hai ishu .. to thanks for this..,Not Hatespeech
"Aapko apne aap ko Hindu kahana band karna hoga
Aadi problem used in solve ho jayegi
Kyunki Hindu Koi Dharm Nahin Hai
Yah kuchh dabangg jaatiyon ki private limited company hai
Inhi Logon Ko desh ki avastha per kabja hai
Baki sab ismein bandhva majdur aur mansik gulam Hain
Aaj vah hi Halat yah log minority ke sath karna chahte Hain
Unse yah log Dharm ke naam per nafrat karte Hain",Hatespeech
"Me garv se kahunga 

मै हिंदुस्तान  का एक हिन्दू धर्म का नागरिक हूं 

जिसे जो बोलना है बोल 

जिसे तकलीफ है अपने अप को हिन्दू बोलने में 
वो पैर patko और पेल satko पाकिस्तान समझे 

यहां लौंडाई ना पेलो

Modi is the best pm of our country 

Jiske gaand। me dam ho Hara के दिखाओ उनको 

I know better than sbki jhaant sulag jati h 

Jitne congrs vale h vo gaand dhoye ake ab commt box me😂😂😂 

Or jitne Pakistan vale h vo mut piye aake😂😂😂",Hatespeech
"Hindu Koi Dharm Nahin Hain
Hindu Ek parshian bhasha ka shabd hai
Hindu ka matlab hota hai kafir
Aur kafir ka matlab hota hai haram ki aulad
Agar tu apne aapko khud Hi haram ki aulad kah Raha Hai
Tu bahut badhiya baat hai
Apni asaliyat khud Hi bata raha hai",Hatespeech
अबे पक्का तू पाकिस्तान की  ही auladd है उतना तो समझ आ गया मझे,Hatespeech
lagta h modi ji ne Tere sath acha niii Kiya tbhi Teri gaand jal rhi h unse 😂😂😂😂😂😂 luli pkd mera,Hatespeech
"Pakistan Ek chhota sa Desh Hai
Na uski economic power hai
Tum jaise gaddaron ki vajah se hi
Desh Ke tukde hue
Jo apne aap ko Hindu kahate Hain
Jiska apna hi koi vajud nahin Hain
Use Modi hijade ne Jo apni aurat Ko Nahin sambhal Shaka use Desh Ka Pradhanmantri banaa Diya
Aur usmein tumhare andar Pakistan Ka dar baitha kar tumhe bhi hijada banaa Diya
Aage chalkar tumhara yahi HAL hoga
Tum dar Ke mare bilkul napunsak Ho jaaoge
Tumhare auraton Ko Bhi Koi Aur hi chhodega
Abe land choose bhagat
Na hamara Congress kuchh bigaad
Saki
Na hi hamara yah Modi gandva kuchh kar sakta hai
Dar To tere Jaise land chus Ko Hai",Hatespeech
Sc/st sunkr log students ko log room tk rent pr ni dete h..  clearly  muh pr bolte h.. ki dalito ke liye not allowed.....,Not Hatespeech
जय भीम नमो बुद्धाय जय मूलनिवासी,Not Hatespeech
Molnivasi ho ti bhuddya kha se agya,Hatespeech
Jay bhim ki jagah jai hind bolo mast dolo,Not Hatespeech
Castle kid bimari sirf hinduo ko h. Jo maderchod manuvadi pakhendi h.or na hi Christian sikh baudh Muslim kisi ko nehi h.en maderchodo manuvadeo pakhendeo ko vote met do. Apna babasaheb Dr. B.R Ambedkerji ka betaya hua baudh dherem apenao. Jaibheem jaibharat namobudhay jaisamvidhan jaikabir jairavidas jaivalmiki jaifuleji jaiperiyarji jaibhujansemaj jaiguru nanakji.,Hatespeech
Very nice beti we all bhujansemaj support you. Jaibheem jaibharat namobudhay jaisamvidhan jaikabir jairavidas jaivalmiki jaifuleji jaiperiyarji.,Not Hatespeech
The cowards stop dalits from winning a race which dalits are not even allowed to participate. They still fear loosing from those they want to suppress.,Hatespeech
Hindu koi dharm nahi sirf jatiyon ka jhoond hai isliye baba saheb ambedkar ne boddh dharm apna liya isliye hume bhi buddhist ho jana chaiye jo sahi tarika sikhata hai jeevan jene ka .,Not Hatespeech
दलित नही s.c बोलो,Not Hatespeech
"In india
Upper caste are mentally ill",Hatespeech
"Inka DNA ""R1A1"" hai isilye wo bharat k logo ko neech mante hai, aur inke ghar     me jitne ladies hai unka MITOCHONDRIA DNA R1A1 nahi h balki native Indian hai, isilye unhone apne maa, behan, beti ko v SHUDRA declare kia h",Hatespeech
Jai bhim Indian,Not Hatespeech
Not Good to see Ghatia mentality. ....In every religion all persons not perfect..but in Upper caste they thought they are Genius. ..I am handling team of more than 250 personal  95%  not knowing correct spelling even not sure how to write an application. .They all  are showing very Intelligent. ..Mam Go Head ...My best wishes for u..,Not Hatespeech
Kolkata a jayie madam,Not Hatespeech
"Sabse jyda Kameen log SC ST hai, RSS ke foot soldier hai nafrat ki campaign mai, Baba sahab ke bataye sidhant se hat kar unka hero Sawarkar hai, Jab hero hi aisha hai to jhelo phir ye sab. Mai miniority hu, lekin jitni bhi anti miniority bate ya hate maine dekhi hai vo sab SC aur ST ke through ati hai.... isliye Miniority ke dusman bhi tum hi log ho...",Hatespeech
"RSS join kar lete app, Mullo ko maro aur maze se jiyo",Hatespeech
जलते है सब हमारी तरकी देख कर,Not Hatespeech
I'm also a dalit guy.once upon a time when I was in 7th standard and I have a school  friend who was Verma means Sunar we both are close friend but there was a problem in my friend that was he used to take gutka sometimes he also took alcohol at that time even if he was in his 7th standard I was shocked to know this and all teachers also knew about his bad habits but this is no any kind of problem for all teachers. Problem is different which is prejudiced to them about us means dalits. One day a mam said to my friend to bring a jug of water and he took me with his but at that time my friends needed to eat gutkha so he said to me for giving that jug of water and when I was going to give that jug of water to her he denied ta take that water jug but at the same time a next mam who sat beside her raise her hand ahead to take jug she also stopped taking jug and she started saying that he belongs sc . Don't take water jug from his hands what the hell but today I'm government employee and by the compassion of God children of mam never succeeded and they are working even today in shop and sometime they have to do labour work so I want to say only this this if upper cast make us shame saying chamar or dalit then we should do hard work so that one day will be able to show them that who are all we so please I request to my all sc bhai please do as much hard work as you can and show to upper cast their power Jai Bhim Jai Bharat,Not Hatespeech
I also faced this problem during my graduation.,Not Hatespeech
"I  belong to sc caste ,,,,,,I topped in my class 12,,, with 94%,,,  I never thought about any reservations  I always try to get rank 1 in any exam exam ,,,
But I always faced this type of people ,,,,
When I  faces this then ,,,,,,, I started to cry  and  feel emotional",Not Hatespeech
निच मानसिकता वाले लोग,Hatespeech
You are Hindus only made to participate in communal riots,Hatespeech
Jae bhim jae mim,Not Hatespeech
Dalito ki sabse badi dusman RSS he,Hatespeech
BBC fake news I also work in private job this is never happened she is a fake lady she is so rich,Not Hatespeech
"Ya, mere bhi bahut friend the, jaise hi patta chala ki mai SC hu, suddenly sare dost ke beviour change ho Gaye,",Not Hatespeech
"Bbc you  trending aagenda against India ..
I have many friends who is SC St but there is no any cast heated poltics.",Not Hatespeech
So sad 😢,Not Hatespeech
"And then you blame ppl for going to other countries for working...😑 Not that other countries dont hav issues 

like racism but its a lot better than being in a place thats problemtic to your own survival...",Not Hatespeech
What is solution????,Not Hatespeech
"Yaar u r very nice person u have good personality
I like u",Not Hatespeech
Mere bhi friend hai dalit pr mai kabhi bhi bhed bhav nhi karata... Aur mere kai friend bhi ayesa nhi karate...,Not Hatespeech
Madam ji ye desh nahi badlega kuch kutto ki vajah se,Hatespeech
प्रोपेगेंडा हैं ऐसा कुछ भी नहीं है... फालतू कि बात,Not Hatespeech
Don't feel shame... Why should we shame if people having narrow mind......,Not Hatespeech
छूवा छूत की बिमारी इंसान की एक मनसीकता बिमारीहै,Not Hatespeech
agree with u mam. Jai bheem. we ll bring equality one day.,Not Hatespeech
"BBC me acchi lag rhi ho,,,aap mujhase miliye",Not Hatespeech
Teri jesi chutiya kitani aai kitani tu sadhar kar le gi Hinduo KI soch me   apne Baap ke baap Baba SAHEB ambedker ko padh le,Hatespeech
Kyon na jati ke kalam me sirf Hindu ho adhar me Hindu anyatha hum jation me bat jaayenge asthai roop se,Not Hatespeech
DISGUSTING WHAT A SHAME FOR INDIA FUCKING  PEOPLES,Hatespeech
She must be paid by bbc.. Well let me tell you truth.. In India there is 22 percentage reservation for SC and ST  for all kind of job.. From  Civil Services to clerk... And 27 percentage job for OBC.. and this reservation is from last many decades.. Same on you BBC.. Same on you.. Bbc is ever racist channel I have ever seen.. Their own society is classified into High class low class and so on.. They they are blaming us...  Disgusting fake Channel,Not Hatespeech
Chal jhuthi..jab desh me sab thik hone lgta he to tum jaise log bigadne aa jate ho..kis dukaan me job Kar Rahi thi Jo aisa hua tre sath..me brahmin hu or mre kai frnds even Muslim mre Ghar aate or me unke Ghar jate he..apni life me mne about 15 alag alag company  me kaam Kiya he aisa mje kahi dekhne ko nhi Mila ..paisa lekar jhut failana  band karo,Not Hatespeech
"ये सच्चाई है, हिंदू धर्म में जींदा लोगों  की ठिक से व्याख्याही  नही होती।",Not Hatespeech
We should study our own history not of the Hindus because this is the main reason that's why we're dissimilar in our society.,Not Hatespeech
Even angrezo ne bhi brahmins ko judiciary se alag kar diya tha kyonki woh jaan gaye the ki ye justice main vishwas nhi rakhte..inhone sare samaj ko ganda kar diya hai...judiciary main jo bhi convict hote hain unme dalito ki no. bhut jyada hai..jabki woh jyadatar victims hote hain.,Hatespeech
"Dont worry we are support you, caste is creation of human. Caste is a mindset. We demolished this",Not Hatespeech
"Caste system Bharat ka hissa nahi tha, yeh Bharat me mughal shashan ke baad shuru huya hai, 

Hmare yaha varan system tha, 
*Manusamtiti ka ek shlok*
*Janamta jayte shudra*
*sanskarta dvij uchayatama* .  .. 
arthath:- janam se har koi shudar hai, kewal sanskaar hi hai, yo usey uchay banate hai. . . . 
jaise:- chota bacha hota hai, chahe  wo brahman ka ho, shastriy ka ho, vaisya ka ya fhir shudar ka, usme duniya ke prati koi ved-bhav nahi hota, wo chah kar v nahi kar sakta. . .",Not Hatespeech
Ye kaise religion hai jis me logon ki equality he nhe islam me sb barabar hain koi chota bara nhe hai,Not Hatespeech
"I believe only those Dalits irrespective of any cast who are getting reservation.

 The one who did not get reservation is not a Dalit, even from any cast.

 Madam is speaking wrongly, in the whole force, everyone in the police puts their name plates, the cast is written in front of many people's names, there is no discrimination with them.  Do you know that there is no need to fool India even document is maintained in all departments, everything is written in it, any doctor  Sector go to are in out name plate is still in a video about her that was not viral a doctor who thought wrong.
 Do not try to divide India for some greed.

 Madam should give evidence to the law, what has happened to them or else the strictest legal action should be taken against those who put such videos.",Not Hatespeech
bad log the bo,Not Hatespeech
ye 100000000000000000000000..................percent right hai,Not Hatespeech
Bharat me or Hindu dharm me jaativadi ka sudhar hona namumkin hai kyou ki Hindu dharm hi varn jaativivastha pa adharit hai Jay bhim namo buddhay,Not Hatespeech
Our education system.has failed ..Our education is only to make money ..Good job ..no.change in  social thinking N behaviour of people ...After BJP coming to power it's showing ugly faces more prominently.....Big shame for our country,Not Hatespeech
"लेकिन अगर तुम ये सोच रहे हो कि दलित मुस्लिम का साथ देने तो ये तुम्हारी भूल होगी।
ठीक है ना हम अपने देश से प्यार करते है।
हमारी लड़ाई भेदभाव जातिवाद से है।
ना कि तुम जैसे जिहादियों की तरह अपने देश से।
Jai bhim jai bharat",Not Hatespeech
Jai bhim jai bharat is desh ke loog aisa hi hai aisa hi karte rahenge khud ke andar kabhi nhi jhank sakte aap naraj na ho hamara jo kaam hai karte chalo dusro pr dhyan na do koi hamare sath ho ya na ho,Not Hatespeech
Re koi mujhe batayega ye dalit hai kya?😭....seriously kbse dhund rehi hu lekin abhi tk koi clear idea nehi mila,Not Hatespeech
it is integral part of hindu sanatan dharma.. the caste system..,Not Hatespeech
I am also a hindu....I still didn't know this type of things really exist still now....😳😳,Not Hatespeech
then you must be an idiot. or living in some foreign country,Not Hatespeech
These people r always like this even I have faced same so We have to change our society with our education and knowledge Jai bhim 💪,Not Hatespeech
All these are happening because of Brahman mindset of government.... We really need to look this matter seriously,Not Hatespeech
Ye hy india ki asliat jo apny logon ko b poory haqooq nahin dy rahy zaat paat main bahot fark kia jata hy,Not Hatespeech
Brahmn nahi sudhrege...,Hatespeech
इट इज वेरी शेमफुल,Not Hatespeech
"मैं सबसे request करता हूं।  जिस धर्म में हमारा सम्मान नही उसे छोड़ देना ही बेहतर होगा।🙏🙏
धर्म समनता, और सम्मान सिखाता हैं।  जहा सम्मान नही वहा क्यो रहना। 
100 दिन कायरो के जैसे जीने से अच्छा 1 दिन सम्मान से जिया जाए।",Not Hatespeech
Dalito ke raaj aa gaye sala dalito ko phone pkda diye,Hatespeech
smman dhrm se nhi hota he or kisi dhrm me lilha bhi nhi he ki bhedbha kro ye kud hmne bnaye abhi yha caste ke nam per Europe me colour ke nam per khi religion ke nam per lakho jews ko mar dala insaan ne kud bnaye he bhedabhav naki dhrm or esa bhi nhi h ki scheduled caste people are less or less in no bus in panditvati logo ne dba ke rkha he jb tk dbege tb tk ye tbyene dhrm btlne se duniya ki sari unequality khtm hojati to log clour or decent ke nam per nhi ld rhe hot,Not Hatespeech
ISLAM SUBSE SADA DHARM H,Not Hatespeech
Bol bhai kya hua tha,Not Hatespeech
"Dalits must have test tube baby from gour brahman DNA,it will change dalits into upbrahman  problem solved jai ho",Hatespeech
mene to dalit ke sath khana bhi ghaya hai dalit mere dost hai,Not Hatespeech
rathore it's true ki reservation jinke lie hai unko sabse jyada damage karta hai specially socially but it's that is  one life line to jump the line..point hai sahi jagah or sahi tarike or sahi logo ko reservation la fayda mile..naukri me reservation la koi fayda nai gareeb. Vaha tak pahuchta hi nai.. promotion me to bilkul nai... reservation shuruati padai me scholar ship or best coaching me free seats k saath milna chaie..jisee kabiliyat jeete.. economic privileges (forward) ya social privileges (backwords) nai...plus jinhe ye lagta hai ki unki naukaria reservation ne cheen li to reservevation khatam hone pe bhi they ll not get anything kuki job nai hai kuki  economicgrowth kam hai..cake yadi bada hoga..to ek hissa nikal lene par bhi...baki log k lie jyada bachega...mai ek obc hu kahi na kahi... general ko milne vali nainsafi.or dalit ko milne vai judgemental perception se barabar duri par hu..or janti hu..garib to Lucknow k Tulsi ki mala bannae vale pandit bhi hai..or ek dalit jab reservation pa k dr k collage me jata hai..to final exam apni kabiliyat par pass karta hai...vaha reservation nai lagta,Not Hatespeech
Cast system khatam karne se arakshan ke liy dalit kee pehchan bhe khatam ho jaygi soch k boolna,Not Hatespeech
Kis organization me cast puchha jata h? Mujhe to nahi mila aaj tak.,Not Hatespeech
You should leave Hinduism,Not Hatespeech
No worry my sister kas mere hath mai bhed bhaw karne walo ko sabak sikhane ka licence hota,Hatespeech
"Bsp ,कांग्रेस आजाये  फिर देखो ये जयभीममिम वाले अपनी खून एक करलेते हैं जिन्होंने इतने झूंठे scst केस ,जाट यादव गुर्जर राजपूत बनिया पण्डित कुर्मी सब पर लगाए अब सबने इनमे लात देदी तो पागल से घूम रहे हैं",Hatespeech
"गंदगी,घ्रणा फैलाने का तुम मानसिक रोगियों को संवैधानिक अधिकार मिला है बाकी कमी बीबीसी कर देगा।घ्रणा फैलाओ सहानुभुति पाओ।बकवास परोसो।",Hatespeech
गधे इंसान अगर कोई सच्चाई बताए तो उसे घृणा फैलाना कहता है।सच्चाई से मुँह मोड़ कर कुछ हासिल नही होगा।कमियों को दूर करना होगा।,Not Hatespeech
73yrs of independence still we do not get freedom from caste discrimination,Not Hatespeech
This is true,Not Hatespeech
"Being as a dalith employee i also faced this type of criticism. ..
In daily life we face so many problems and it is one of them",Not Hatespeech
But u want all benefits using reservation,Not Hatespeech
"😃😃😃😃
I said it is common brother....
I think you are not understanding my concept...
This type of problems comes every where and every time..
We have to face...
In our family (even though we have same blood), our brother and I,fights always but in our mind we respect each other and Always we think our family respect in the village..
In the same way i fight with problems always and also respect my culture..
I can not blame my society and cultue...
I can't blame my country infront of other people... like BBC..",Not Hatespeech
​ 😂😂😂😂 exotic,Not Hatespeech
Saalo Muslim ko jaane do tumhe to nangga karega.,Hatespeech
the anti dalit and Anti India channel BBC,Hatespeech
THE CASTE SYSTEM MUST END.,Not Hatespeech
"Yeh BBC CHANNEL SIRF JHUTH FAILATA HAI GANDU CHANNEL ,AISA KUCHBHI NAHI MAI KHUD DALIT HOO ,THODA BAHUT GAON AREA MAI HOTA HOGA PAR PEHLAY K COMPARE MAI JAATIVAAD 90% KUM HOCHUKA HAI YAAR MUJHE KHUD BHRAMAN SHITLA MAA K MANDIR KA KHANA KHILAYA APNAY GHARME",Not Hatespeech
"Kyu jhut bol rahi ho mai bhi dalit hoo aisa kuch nahi ,kuch insaan jaativaad araktion say cheerta hai nahi aisa kuch bhi nahi ,discrimination baat jhuta hai",Not Hatespeech
Ye h hindu drm ki sachai .,Not Hatespeech
True...i also faced,Not Hatespeech
I believe this discrimination is not good but if we really want to end it then first of all you need to abolish the reservation system provided to dalits. Most of general category person don't like dalits because they know that they are undeserving candidates but got the job due to quota.,Hatespeech
Apne ko Buddhist bolo na. Kiyo brahman ki di hue gaali ko bol te ho. Hindu dharam ke hisab se mai jatav hu but hum shudra to Buddhist the. Apna itihas pado to pata chal jayega SC hi is desh ka raja tha.,Not Hatespeech
"Ek time par cast discrimination siru hua, ab ye naturally apne colours show karta hai, Jane anjane",Not Hatespeech
Ap ho to hindu hi na phir asa q hota he cast system itna q bother kerta he India me..... Apne logon se ase kerte ho to dusri minorities ka to samjh hi sakte hn,Not Hatespeech
😂😂😂 meena kotwal  k saath kya kiya tha bbc,Not Hatespeech
But south India is much better. We don't discriminate and live together happily.,Not Hatespeech
सही मायने में बहन जी आप धर्म बदल चुके हो और जितना बड़ा मुद्दा आपके द्वारा बनाया जा रहा है उंतना बड़ा मुद्दा नहीं है । लेकिन खेर आपको समझाने से कोई लाभ होने वाला नहीं है इस लिए आपको मै समझा भी नहीं रहा हूं ।लेकिन फिर भी मै आपसे अनुरोध करता हूं कि एक बार अवश्य ही इस पर विचार कीजिए गा की क्या आप जों दुनिया के सामने अपनी छवि रख रहे है ओ ठीक है। जय हिन्द,Not Hatespeech
"दोगली मानसकिता के लोग ,",Hatespeech
"SC+ST+OBC =85% आपका पैसा 
GENERAL =15% को जाता है। एक हो जाओ। छोड़ दो पैसे बर्बाद करना। अपना trust बनाओ जिससे अपने समाज को पढाओ, मजबूत करो। जय भीम नमो बुद्धाय। गांव में हर महीने पैसे इकठे करो चाहे 10 रुपये हो, क्योंकि हमारी आबादी बहुत है लेकिन संगठित कम है।",Not Hatespeech
"ताज्जुब ये है की हमारे सवर्ण भाइयों ने इस कमेंट बॉक्स में कोई खंडन नही किया।
ब्राह्मण तो बिलकुल ही नही क्र बराबर हैं",Not Hatespeech
BBC mein khud bramnwad hai,Not Hatespeech
U r right,Not Hatespeech
BBC ka propaganda hai ye Saab.,Not Hatespeech
Aap logo ko aarksn chodna chaye tabhi apki ejat ho gi,Not Hatespeech
Asa kich nahi h bkvas h ye sb publiccty k lye h,Not Hatespeech
"Complete propaganda just created to permeate more caste hatred in the society. 

I study in an Institution of National importance where sixty percent of the people come from reserved Category they have never been ill treated by any sorts. They get equal opportunities intact way more Blandishments .

How can a society which is almost 70% of our countries population feel alienated. 
Victimization has become your fashion.",Not Hatespeech
Hindu religion is Bullsh.t....,Hatespeech
Garv se Reservation quata ka use karo,Not Hatespeech
Arkshan hato Desh bachao,Not Hatespeech
Because of such discrimination reservation will continue for eternity...,Not Hatespeech
BBC Hindi Ka Sampadakiya Mandal aisi khabron ko dikhakar apni pap dhone ki koshish karta hai. Brahmanon ke varchaswa wale is organisation me diversity ki jaroorat hai.,Not Hatespeech
A hindu dharm hi is ki jad he sister,Not Hatespeech
Tum log khud murkh ho salo Buddhist bn jao ye koi aur dharm,Hatespeech
Ek matra desh jahan pe Aadmi ko janwaro se bhura mana jata hai,Not Hatespeech
India's biggest problem is cast and unemployment and equality,Not Hatespeech
"We all are very unlucky to born in this country. We feel ashamed of saying INDIA as incredible. 
Neither upper nor lower caste is happy in this country.",Not Hatespeech
Jhooth bol rhi hai ye hatttt,Hatespeech
She is a liar fake controversies,Not Hatespeech
Hindus greet by joining their hands..........hindu does not shake hands...........it has an historical and religious perspective that hindu does not want to touch dalit (shudra) a lower cast hindu or people from other religions..............that is a historical reality..............try to learn Islam yourself...........and then accept Islam,Not Hatespeech
And indian government is asking pakistani hindu to come to india while hindu dalit r not safe in india,Not Hatespeech
